rerun_id,num_decoders_used,pair_id,euclidean_distance,geodesic_distance
0,1,0,3.8971431255340576,16.822816994512525
0,1,1,2.8156497478485107,16.64342607733747
0,1,2,5.1926045417785645,28.285547627540176
0,1,3,6.702322483062744,32.276278885753506
0,1,4,4.4744086265563965,21.529821960308407
0,1,5,7.750249862670898,35.84740064234086
0,1,6,1.032332420349121,4.696198797121971
0,1,7,0.4806210696697235,0.9303155588773107
0,1,8,3.103830575942993,5.624482194591374
0,1,9,3.0463178157806396,18.100185060345378
0,1,10,1.4601259231567383,10.579051034983301
0,1,11,1.6825759410858154,4.839309330361294
0,1,12,3.6930160522460938,15.583955368166073
0,1,13,7.230700969696045,25.29301309117735
0,1,14,3.9252045154571533,16.373539750312947
0,1,15,3.911348581314087,9.884907062500757
0,1,16,0.8063133955001831,4.099919918487762
0,1,17,5.034630298614502,25.67492159912263
0,1,18,3.4098048210144043,5.61288758704638
0,1,19,2.5965211391448975,16.812000820307833
0,1,20,7.588187217712402,38.056661023297714
0,1,21,1.9229636192321777,8.662177855211269
0,1,22,5.581192970275879,27.468913315427475
0,1,23,3.0790607929229736,21.245903068987133
0,1,24,2.4387407302856445,8.524767973754338
0,2,0,3.8971431255340576,19.89216381272645
0,2,1,2.8156497478485107,21.146825587351756
0,2,2,5.1926045417785645,31.58553653437064
0,2,3,6.702322483062744,33.435329587854184
0,2,4,4.4744086265563965,28.119429786945695
0,2,5,7.750249862670898,39.48943255103984
0,2,6,1.032332420349121,16.28629135600897
0,2,7,0.4806210696697235,8.99737213764668
0,2,8,3.103830575942993,10.61890191502207
0,2,9,3.0463178157806396,23.042932660698135
0,2,10,1.4601259231567383,15.366562427710583
0,2,11,1.6825759410858154,15.259276523463727
0,2,12,3.6930160522460938,19.687967349363657
0,2,13,7.230700969696045,27.59754096976984
0,2,14,3.9252045154571533,24.530553334056695
0,2,15,3.911348581314087,18.36242577711131
0,2,16,0.8063133955001831,13.100213761078004
0,2,17,5.034630298614502,28.77981533985397
0,2,18,3.4098048210144043,12.454155432980116
0,2,19,2.5965211391448975,20.358453877618246
0,2,20,7.588187217712402,39.970266353663604
0,2,21,1.9229636192321777,13.746329632637966
0,2,22,5.581192970275879,29.77493600269938
0,2,23,3.0790607929229736,24.779258619152507
0,2,24,2.4387407302856445,13.70063158793065
0,3,0,3.8971431255340576,21.85310218141058
0,3,1,2.8156497478485107,22.702169252508256
0,3,2,5.1926045417785645,32.21509360314471
0,3,3,6.702322483062744,35.91480601389384
0,3,4,4.4744086265563965,27.560732830253716
0,3,5,7.750249862670898,39.08688926109847
0,3,6,1.032332420349121,16.56514111459617
0,3,7,0.4806210696697235,9.861709342564632
0,3,8,3.103830575942993,13.399496017771469
0,3,9,3.0463178157806396,22.66494310595316
0,3,10,1.4601259231567383,18.603268637632105
0,3,11,1.6825759410858154,17.80059395131329
0,3,12,3.6930160522460938,20.07344607447081
0,3,13,7.230700969696045,28.921070947089124
0,3,14,3.9252045154571533,22.96369789250933
0,3,15,3.911348581314087,18.139321187534314
0,3,16,0.8063133955001831,14.062925883307999
0,3,17,5.034630298614502,28.660417925495477
0,3,18,3.4098048210144043,12.171161047939625
0,3,19,2.5965211391448975,21.564181320319697
0,3,20,7.588187217712402,40.82830588603252
0,3,21,1.9229636192321777,14.003907884414131
0,3,22,5.581192970275879,29.65602258046363
0,3,23,3.0790607929229736,25.541767694751595
0,3,24,2.4387407302856445,14.993021549722046
1,1,0,4.851716995239258,22.241832820099734
1,1,1,3.4233827590942383,21.418007577363127
1,1,2,5.577189922332764,29.186205555477102
1,1,3,5.605469703674316,19.834270465840415
1,1,4,4.111230373382568,19.566794219676257
1,1,5,8.676095008850098,31.836296010251314
1,1,6,0.8979175090789795,5.857402662835281
1,1,7,0.6336327195167542,1.5326305316389337
1,1,8,4.079883575439453,4.7179190807251565
